Итерация,NGRADE,INIT-DEC-TBPND_PRE_EXP,INIT-DEC-TAPND_PRE_EXP,INIT-DEC-TOPPI_PRE_EXP,INIT-DEC-TOPND_PRE_EXP,INIT-DEC-TAPPI_PRE_EXP,INIT-DEC-TBPEH_PRE_EXP,INIT-DEC-TBPIN_PRE_EXP,INIT-DEC-DTBP_PRE_EXP,INIT-DEC-ETHYLENE_PRE_EXP,CHAIN-INI-ETHYLENE_PRE_EXP,CHAIN-INI-PROPYLEN_PRE_EXP,PROPAGATION-ETHYLENE-ETHYLENE_PRE_EXP,PROPAGATION-ETHYLENE-PROPYLEN_PRE_EXP,PROPAGATION-PROPYLEN-ETHYLENE_PRE_EXP,PROPAGATION-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-MON-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-MON-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-MON-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-MON-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-AGENT-ETHYLENE-PAL_PRE_EXP,CHAT-AGENT-PROPYLEN-PAL_PRE_EXP,TERM-DIS-ETHYLENE-ETHYLENE_PRE_EXP,TERM-DIS-ETHYLENE-PROPYLEN_PRE_EXP,TERM-DIS-PROPYLEN-ETHYLENE_PRE_EXP,TERM-DIS-PROPYLEN-PROPYLEN_PRE_EXP,TERM-COMB-ETHYLENE-ETHYLENE_PRE_EXP,TERM-COMB-ETHYLENE-PROPYLEN_PRE_EXP,TERM-COMB-PROPYLEN-ETHYLENE_PRE_EXP,TERM-COMB-PROPYLEN-PROPYLEN_PRE_EXP,B-SCISSION-ETHYLENE_PRE_EXP,B-SCISSION-PROPYLEN_PRE_EXP,CHAT-POL-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-POL-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-POL-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-POL-PROPYLEN-PROPYLEN_PRE_EXP,SC-BRANCH-ETHYLENE-ETHYLENE_PRE_EXP,SC-BRANCH-ETHYLENE-PROPYLEN_PRE_EXP,SC-BRANCH-PROPYLEN-ETHYLENE_PRE_EXP,SC-BRANCH-PROPYLEN-PROPYLEN_PRE_EXP,LDPE,MWW,MWN,FSCB
0,1,152000000000000.0,147000000000000.0,76000000000000.0,76000000000000.0,412000000000000.0,30800000000000.0,194000000000000.0,280000000000000.0,1000000000.0,60600000.0,27500000.0,66660000.0,20000000.0,39270000.0,10250000.0,325000.0,8500.0,6100.0,6900.0,460000.0,460000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,1370.0,1370.0,805.0,805.0,805.0,805.0,245000000000.0,1100000000.0,1100000000.0,1100000000.0,18118.0234,153485.942,16292.4446,26.8236208
1,1,132181368662960.9,162859034634354.7,83690407930074.75,72225534486076.33,423225637029344.1,35863421875936.5,192860676296546.2,290368960611767.9,1040045567.521495,69120722.8567033,28474610.93973728,65411725.08327787,18708759.84143494,43832233.15539307,12036338.58287311,317114.5678403506,9493.23882191987,5270.517773345351,6945.04246730709,433529.6606905677,433483.3588570171,80063693.54702312,76832004.08675328,81138645.77509198,65308028.0035062,71050355.5980767,91211528.50010735,69475676.34196214,84876277.6397987,1209.61260508628,1267.12857953389,669.9331644820263,867.0407879840941,882.6375938981095,814.7068147854968,264745569265.095,1260115600.994643,1110596373.358963,911878742.8208665,18092.8798,158868.075,16577.6108,29.546876
2,1,126301681343108.7,138293217099005.9,83528232065300.03,80733537439220.56,366734244452471.9,35713061135425.67,171476615762471.5,287257012416818.6,1001045888.200493,60504693.6081197,24566855.39970168,66921634.13671998,18493175.28687989,35361009.12552848,11303302.49004427,297812.2119320488,7129.163145729458,6513.930773094623,5655.058531354987,392148.6581090282,400617.5989456451,89619635.7009616,72288266.410002,85168844.59135678,63877513.18263857,77414569.99183753,74286388.72328123,71626451.05545466,86208323.59291056,1096.950782285428,1515.767132845896,705.9929151644099,790.9687002090219,766.4310613629325,651.6797898941672,288875819871.6341,906968914.4835937,1170777866.416487,915949768.8992054,18119.8172,178696.345,17956.2083,31.5039581
3,1,160663719257527.2,142021959881121.7,86355697260265.38,73053886853543.78,371748493376369.2,25001449102783.58,176531828426009.4,297128563527685.5,1038043454.551141,66883707.13994318,24646316.64905259,63586957.44503119,18905625.14683142,36697148.08077678,9017151.564221393,266784.9415935555,9460.26108336106,5394.023605796047,6171.001314590416,427032.7032274778,515145.4904722465,78929140.81676237,92380825.34272993,87155432.71488573,70103723.5543508,73922379.46139577,79180778.43687809,63632283.6292843,93489703.26192717,1139.778403177322,1473.414372940946,865.7557621553348,916.0640178260214,735.0168605833553,741.8379233345185,288008541340.8214,1265299905.451321,1269639898.695409,932644403.0741922,18038.0573,188607.187,17385.0946,32.9388611
4,1,134541331652297.2,119866795123339.5,72944037823942.23,90355068823988.98,461626719044067.6,31053461538051.14,191399736099631.6,319491057136130.5,953529795.1497306,71495743.54127501,28151046.76485674,62430350.45204883,21652453.57939423,37616541.04939947,10090674.96819666,290396.3296907495,7322.671917164832,5140.114459253533,6547.876618885559,541807.3206777328,395218.1930460446,73543383.5677235,68752447.06366879,87406883.15641418,68963967.0006802,79618833.65246673,68873461.123459,78170175.15334122,78795281.97197352,1326.002136140986,1475.151225569513,807.7979185582668,766.3446710889907,733.647836780349,830.357727676971,288329384075.463,1204175566.69775,1175249475.008905,1143306913.764982,17973.4129,166205.146,16673.2138,33.3396969
5,1,167515271942923.6,175166115786220.9,72853347246054.67,83508982997510.25,416597330311646.5,35905732611037.73,194797941453283.1,308731788840216.6,1125218238.007982,60661672.74439323,32018156.01935502,72618325.77582142,17101397.60044493,32772445.84401556,9130884.424484456,337981.3714031056,9416.198574083273,6905.310769451085,7216.989494126513,479196.0604654541,372251.829704905,70188185.52981584,76054935.59080318,91499611.90562966,82717230.77984482,78611340.34920248,92756879.48269165,89539754.49293272,80714320.75679632,1624.073279265549,1259.602963579869,682.578163583444,835.4862881568474,774.1935271980659,884.4995814351374,264332213886.5508,1220184770.884342,1282163499.595653,1109199589.403443,18144.441,134681.497,15464.5884,26.5489943
6,1,128983486976965.0,166245467330756.5,71519462133221.53,80347995798626.64,448363879197268.6,26599180289761.48,188461885359940.5,272368556148308.2,906020929.1405696,67497122.21484455,26967066.57299042,76341691.6886239,19749810.85658944,40191001.54953638,9721474.66785049,301999.4490963484,9850.840036079251,7230.080700756551,6264.988336081957,496673.4621549819,512883.6027995222,66911214.4473836,85747424.90055706,70950426.89595805,69065795.90697864,74982054.34751153,75677926.41172066,74235226.16533208,76202440.46508946,1503.907837661459,1185.515123525175,737.3428018265356,953.5771686413673,808.5208655403239,884.0438546074299,275989699422.8663,886160365.0059962,1221213395.490036,1314024609.458048,18223.7385,163056.874,17434.6377,26.4915992
7,1,180804578183505.6,124653438508619.6,89838343751651.88,83021997768261.94,371031423899631.6,34908518902115.9,184761563835498.7,280137827173239.8,921359641.3414311,68272290.15380085,22427151.66277784,54748584.0468834,19355904.00301391,38287598.07720309,10240129.22703475,314865.1991752686,7507.481397434321,6851.192782334795,5618.103002420597,541168.6429084013,416349.0047050415,82049229.82657887,65556613.62214242,78748436.22781913,78751115.5285968,65889750.9775371,85036526.3649539,67420191.30419047,92827785.27755678,1155.310128128354,1143.003859357792,896.5140358775744,861.0549069010453,880.0977963621046,686.4052299032319,212851967909.1039,946877681.8488647,1000487704.688363,1180025019.4251,18021.2495,139321.818,14725.4931,28.2512087
8,1,178140964119139.7,172193558817622.0,73582703173637.45,81755187177696.2,458926722959830.8,36505505969356.52,163541953521571.9,271827930980946.2,875499462.62379,64397329.31556636,26238035.84454771,53710473.4888119,16528240.29064428,35970772.43924956,11416131.83591336,292242.3125249803,9018.475439694497,5314.13063998041,7192.223738498695,456376.8837868279,385427.0657102249,81135240.90612476,63184611.67017005,67148746.25148033,80445400.87464778,81217944.69394779,89450632.3156188,71246756.64140488,78360155.85008791,1504.410547435679,1577.924903942891,886.701607320087,762.4046291403454,886.1937772982378,719.8956428381402,226768097832.4865,1301529121.419518,993966987.0289564,1258561818.300497,18025.7758,137170.38,13427.4605,30.6783476
9,1,153240518165600.4,141620804759900.7,72511533553158.75,84058324862073.19,366737024491448.4,25041520282202.93,187030438934260.1,321238075467778.2,1085551517.428161,61470809.42129202,29337583.41908442,56753096.82761505,16094769.36356421,45702032.87179374,10276296.79475759,364683.3829345158,9045.769200887284,6814.577753183859,5976.676740076239,455829.4245644573,478983.8265037299,77064682.05109273,67553954.13108067,72056582.26146239,67477367.84248091,76762982.08664344,73432646.64431754,73818989.10315292,70412693.84484996,1559.475907929988,1144.256845234504,825.0903571321602,818.6232789976718,847.1475295734939,941.8772879237179,259980257184.179,935977074.8756818,976543233.6061105,962764191.3417275,17905.3575,114232.301,12939.1214,33.0745588
10,1,172167736832645.8,154163164861143.6,75808994703529.7,76248860130020.62,363027053763814.1,26282597578042.27,214316170243344.0,231676850124615.8,932089191.8790802,54667492.50412383,23360066.29096236,59801790.70092133,21773619.7969304,38673190.85827827,9740674.542797305,384542.2888514291,9757.438621673047,5189.530339356343,5934.196879260413,445198.3999785447,466064.3036283605,78111631.34925796,82678033.97149426,63884874.16893873,70031077.67199355,68128635.59747452,80470635.17929973,74247940.57057922,86956672.381696,1348.449165831015,1123.383533019822,711.8125061688088,816.8382589770314,843.4078140052638,956.3064188132322,273987311016.5607,985698447.2153012,986961400.2772352,1068060458.117625,18223.7358,121142.512,13875.445,33.7231831
11,1,149474261614296.6,130132363928019.2,81596190602007.55,81225684113639.27,457700757723241.0,26153325379056.16,223259335955608.3,277048657968229.5,988573747.4083669,58197225.16560452,22611498.11835614,71309496.05644493,19572358.89781417,44057583.7843802,11299280.24198633,275848.7049196126,7038.060548871247,5723.734059784993,7641.325338645395,539308.3459003753,406236.8009148013,92059368.1225372,86952113.4366628,74958439.07720116,92776179.4304203,78671979.22258113,93304504.530868,84584607.83429158,68901732.0154601,1120.257478824256,1308.082999073363,659.7880443946585,777.331644885554,826.704905275214,805.2633053809012,242286270311.5605,1173583503.090647,1059866522.074712,1080434524.958478,18190.3391,190829.054,19784.1154,24.8610425
12,1,126972119884482.0,165011347962233.6,88490180930054.98,73470052210024.5,402687653328671.0,28840111693164.25,220390829830933.9,284547834767903.4,1052582182.49325,61477049.56707358,29299503.20428717,70923229.47628048,20979593.80226139,41848772.77358434,10843732.75851911,365862.2007481013,8291.065908827004,5317.434950043471,6045.036662333702,459004.9295137819,538525.7428094606,89098236.93492135,91024622.15461582,85179792.62233979,79448061.09562214,65668238.70293417,67404041.49918039,91153640.7733073,82237449.92849725,1588.009547733699,1191.074118350713,940.3548536210642,961.7675017026027,861.1605301138654,907.3717860632139,264185046847.8394,996903173.0927712,1194842409.311386,1106414503.667779,18145.8761,132865.978,15849.9232,27.2832158
13,1,131794658782476.2,158397618654324.1,84348527774192.42,77528322197426.14,388035622490407.4,35033225932305.91,229854752411951.8,316433845393261.1,961979944.8588138,72485044.34901842,29025142.10077105,74516942.2704624,20796576.67162587,44095253.11230561,9025846.74878859,384864.9857605861,7894.619140371992,5273.713656869085,7536.589664746578,436086.5076448594,492324.0022823301,88859692.33779989,67609496.54108338,90639282.61071782,86773042.76290356,84222671.10221882,65118240.27569845,90782136.5561493,64750640.13352565,1381.633674883862,1405.881324081032,799.6498575912004,873.2357775477345,700.5294059211757,699.2073847548614,223961881544.007,1261644766.777215,1022263615.723574,966993514.6944509,18060.6339,141707.416,16975.0951,21.8840378
14,1,151951727721619.4,153599821952454.1,67872511567378.39,82094053457511.19,406132855603258.6,27446821148159.55,226476594803548.2,323493581119103.8,1052362098.58933,61924787.6667227,32635715.88605152,54029990.55512075,22630295.02689943,35428314.06707082,8324536.320152955,327286.1923440399,8087.061787636742,4993.606528458423,6998.45858812237,397208.4975989403,483109.0509084711,65802942.71181583,64291533.41229906,85679178.38955335,86772757.84547062,79855734.77575353,76192531.21881546,71303346.08739334,71054697.35663976,1290.409617741446,1388.930641710173,723.3305922182864,815.2344613930409,692.0362377484656,650.1153517479929,224041850507.8136,1090044611.020057,1028409402.623857,1312985981.837766,17889.5379,154391.797,14260.2979,29.889591
15,1,164648138493552.8,125722273425968.6,85693033784371.78,64041394623989.74,438270733316326.4,26628399052898.16,192536319950668.6,312650583690504.2,1065956543.680348,62255721.76810358,25096895.0368924,77834956.97606106,19965254.66103031,45850998.40100095,10795203.43157407,303271.6492829997,9376.783815855671,4998.516987672467,5585.652860800084,387056.8384929968,508620.0452024145,78491688.41916767,85150912.1810388,76906728.52745181,66645872.41384334,91274109.62700374,73917421.33144626,67027977.96340141,73255730.9146266,1301.43016950337,1295.402694077986,731.3392176113783,767.6986986786745,724.4148697724836,807.1683414365623,199963922593.2834,1185136589.206243,1233247494.037562,1255746024.686437,18120.3615,192021.318,19101.8369,18.7243043
16,1,128510484666696.2,136445033808033.6,76349810679272.19,83148779131120.97,477939573051901.2,28341598878335.82,221310466496089.7,314193733454417.7,1136047812.967974,58043473.35379621,29279823.47942656,59578744.28171232,17259678.81618897,41568500.83512653,10985463.97670369,290826.4462989448,9920.041561965332,7039.891706491395,5733.959047709633,469897.8180286177,480885.2782895189,74999608.29236272,90321948.63031606,82153797.62242672,82182035.55155414,83767243.99340597,83380420.02154565,84683302.63742422,72839643.66732956,1142.800061929685,1628.220476206003,670.2160903925281,856.3096528988656,658.5735269840682,741.2273956990599,196550089647.6531,886119042.5795853,1197000406.314188,1272417020.699996,17993.1467,164129.982,15629.4902,23.9197448
17,1,149436168641205.3,142809208491919.0,75286587127256.12,70134507964015.81,371240639910707.8,30623504370839.66,199712896490867.2,224008868227965.6,974137934.6912947,71951189.68078074,29443457.7485469,78694816.45159297,19009456.65640839,45758430.98793212,8576969.806364316,327667.4079436286,9014.46103752145,5745.839632217489,7216.086433533413,469048.427729832,534926.0408415367,79611730.4307702,77509425.34795934,82780956.02136318,76792849.79147877,69798461.39741072,68175661.3555951,90942039.10719283,79365035.03273614,1558.30319600982,1625.195990322919,726.453131362782,809.7505791253076,672.4010298007244,750.9834845415606,290095399563.252,958131314.2464932,1278859842.613894,989381339.3806964,18454.957,153653.266,17503.5156,27.3863826
18,1,139117402604739.6,149795805931793.9,68402192535973.3,66375074289139.91,482151049250156.2,27170828649871.5,211702438580556.4,311625895061587.7,973152136.3799717,68762421.43345693,25230432.8025289,77225471.68722641,21641772.89547696,44688088.29399804,11435265.30576697,366034.1276725585,8843.579148065837,6068.071078283314,6089.908185266817,420629.1718268249,538357.6385544918,82962242.19390677,66444199.82283036,82684941.46781701,73324509.40816554,90929178.0306969,67538321.87618503,84707405.38416782,77409307.1611989,1415.583186848829,1546.006163256245,930.7934087399112,866.972902969905,764.1366864142892,804.8641145867265,215541979741.1115,1203937375.966372,1188724830.470597,903081653.8340868,18079.6287,152220.395,17376.9289,20.322787
19,1,134991469429935.7,163193718853656.3,90278245571209.9,64776928538949.38,473503502727422.1,32666695870142.03,200070506960005.8,279363694040706.5,979341545.4213464,60211081.54374367,32031541.87167469,75044561.7149258,22378046.95522192,44566453.23354191,9830123.017802922,339779.4628737351,8197.67590683584,5886.633370211593,6447.558679387615,451419.0614537757,384245.1068247829,62856703.30126044,79410884.74473922,62577935.22551534,80701160.16217381,82032793.04158355,72021756.67863303,67363878.67929377,63514823.45651533,1244.60954235649,1108.296701659193,838.7167217874857,931.0594058930776,812.2477210222582,671.3884259268945,277653550001.9929,976010733.5097487,992658768.345113,1259544394.378272,18211.6551,176737.7,18537.3549,27.1172538
20,1,140184153240669.7,166835139208843.7,68682021406013.69,87126307726401.69,343895529538466.5,25629931518506.45,198612211740558.1,294746535960205.1,1171183862.596524,63786327.74768025,30923438.57900245,63697704.87947288,18917655.93062666,44474369.19857316,11279352.13595895,374857.7231282795,7331.707645304733,6367.382595059371,5781.978190986888,372477.4403844371,420479.7483898234,90333887.59288225,67883626.46480171,85207559.8473559,71995272.9413986,91683460.5992898,84905236.31996784,76272786.37465078,72446874.27830611,1537.625426362392,1305.931353559938,858.2702036294169,784.8470159019057,911.6844835920416,665.5150665481384,264770768303.0165,1105616631.366332,1286613100.165998,910861282.019882,18029.2084,130094.43,14590.1924,30.2494907
21,1,137170187934439.3,130962191021248.3,79877164125472.88,86035314126932.17,466333872684044.8,25187642033020.48,193621675536355.8,305630526466875.5,879100338.2344725,48845057.81876621,23367330.64493919,68899412.61249125,22596249.178962,33686149.18571138,10758480.60088282,374740.2124991454,6857.04004218463,5301.113568617276,7893.638994913883,404829.3506218254,385571.232050729,74778652.51946904,88893925.16077204,73718162.41548729,92740833.30267666,86700184.59788643,79203901.31067203,90231590.22259834,90831558.98443797,1207.672943091193,1467.180875895081,949.0576140197679,827.2838021962226,742.0183326134472,809.2663246242939,204959960396.3466,965432329.9555471,1162631323.547048,1144649521.857288,18021.9782,152877.645,16968.1572,21.5863172
22,1,156451189760528.6,123836360931791.2,69107867626726.84,72275165043139.16,336672238238952.5,30344076135654.91,156844002895816.5,233614385145406.0,1194880653.900888,65813036.368142,30847342.75219279,73102983.17280845,22336667.42311378,43371703.41152136,8660205.498297002,289065.2263630618,7010.374044197762,6183.978323102643,5878.29201835344,534620.896366264,375807.6014504822,79188521.26466754,65921501.67893236,90099441.48345424,66638052.02760851,90438357.63722856,92950367.7647506,85416543.51986091,62666649.97620421,1484.128687881909,1332.056915527649,935.0402453841408,790.5339508914756,831.1406646487499,955.0303650146889,199804686053.6773,968960117.1765981,1028019045.794421,1149551538.767981,18370.2823,180953.807,18389.4211,20.2398217
23,1,158963147069857.8,146379257638273.8,73732444955271.08,86183062635531.16,449654902167284.0,29747408521078.06,230306734784563.9,312797347346648.3,1002017160.246306,50182422.62812966,29762214.97996359,53764917.97862741,17269678.39131438,32393640.42534218,11481395.65253794,384856.1633739247,8480.247926099542,7059.060178984673,7792.943498033705,502874.5162759137,435299.4928399771,69894498.67981255,73029557.79800655,70068067.97409272,77247588.52125184,74278800.10181265,84582044.96998383,92069651.88268244,75942435.5052853,1236.60025651219,1458.511794821984,730.046796022751,659.9711529305903,854.27419298789,900.6481438948226,247563546873.3352,1009915761.7298,1257845098.669481,1016401624.861073,17919.0568,111511.118,12767.3742,33.2758531
24,1,135722357512408.2,127918681324323.6,77433845855202.17,64591328247116.62,444362503127931.8,25882907853168.45,204358114462628.8,273846198706241.8,854686129.5617402,60902474.27199203,29179527.10987649,78557015.55266309,21420023.93832219,39762384.1481721,10008837.46233468,341193.2666885917,9515.291214473193,5614.490615426435,7333.23435113372,442268.5892281997,481451.1318233373,72938497.67189762,69612405.8310524,88854444.06036752,70688854.20989881,63316721.41290968,79147576.42239863,92456625.51463714,76545194.84655654,1586.891006361629,1400.057560271367,879.408455207995,927.9030432306547,688.9598109683052,703.8278257126484,280865068661.3492,1174124290.650066,1229517313.256824,1045714431.366989,18205.8233,152400.01,17274.9038,26.2008986
25,1,164236558154568.6,133189993904887.2,82123604650430.53,79373965070298.19,354764078227659.8,36636152397767.12,227803808395646.1,330903557861330.0,866364096.0025226,62562548.86049528,26237451.28408477,56034847.6774995,20627632.95089378,32053156.76929686,10825965.73124179,274048.2601427273,9341.855216298662,6320.185903337609,7829.956660178908,538238.51407454,408795.7958917758,80365826.89306125,86597421.36276197,82330958.8818409,83931491.15739423,81707686.5636802,77230699.15280111,90544445.2752945,75499476.28541672,1250.403553101023,1637.836153460609,806.0188050842612,647.0995274198052,946.3550998743265,874.5193443241212,216088200270.3927,1260679594.179905,1155945494.167843,1183606703.363632,17851.5735,158991.549,14814.3095,27.7499374
26,1,161309982560695.4,175360422991819.5,72690334112996.3,82194975874392.2,438909719794697.1,27992832285123.05,176969855006260.9,275256548872216.7,1061920794.177066,65899419.79084611,30001014.94003638,68326315.84947337,19130061.19708003,35210404.70409738,11103476.57500884,365964.3815984391,10084.08668581433,6333.528732411184,5743.499268743054,432636.3758307588,467298.5936018655,70792369.59078419,69286432.13140085,67771663.002539,72784057.97115213,93459094.48032685,86366397.29328832,88247100.21409982,90986282.52798206,1461.774872799637,1510.357635693078,940.9033228760975,784.2056058087331,745.6379050118506,800.8915026609984,231653465359.5529,1264800204.880461,984560558.3832009,886541222.1838893,18131.7733,135135.377,15079.5753,24.7549755
27,1,131289704360713.3,144684963678493.8,88040058920985.7,81669409249400.97,365353272782345.2,26488098320992.48,185030539838255.6,266702141344790.2,873212978.6137038,54463115.01108433,25893629.82030068,74483752.70913152,19221950.2187137,42264576.08397344,11769938.85061471,347420.3820247048,9907.045663617093,5144.384536427372,7231.986044590241,453900.6772527926,444358.1693619732,66451342.94735342,86978614.14557768,73211604.39480987,77097135.43915634,66853944.82252179,65611927.42086639,75643935.90587367,79565259.31273732,1190.074900455631,1117.776443248414,664.4053941302392,819.9887077608572,653.0563133352318,721.5913374087909,272823985657.1439,1283121011.296755,1090835591.944817,1046094413.684592,18238.9835,158359.725,17799.0023,26.893585
28,1,143488700134638.0,130280215311949.0,90157440213240.33,88277139490010.14,394898279789921.1,25930126519630.12,213324453937933.6,233712181088080.8,1075601266.600569,52458663.70737436,22006667.93788084,74985607.87776312,22486489.24627056,43572399.16950832,11746110.34149022,309217.8506902367,9589.986555260524,7044.423964810841,6022.801999077468,466440.820582153,510694.0516185566,66728597.79778801,65796783.09890138,91531268.73742099,81549088.43227637,90572477.11737528,82537373.15047678,87247845.55238692,82522695.07726201,1152.239047248954,1234.16734617677,961.1474190019298,684.0125537316201,924.5361996052924,700.5443368012039,263811791301.1284,1038358803.123851,925785250.0776738,1184999102.170889,18409.7503,187371.994,18750.2858,26.0549972
29,1,124433636497709.7,130995422465758.8,65891457730539.36,64088783365877.3,455741602470900.2,25072344104823.53,200275812204189.0,277348690131827.5,1099782990.132525,49707392.89180516,23476104.94540341,72140458.17217952,23407059.96889339,43529398.66308093,11118706.64828953,297139.9006515064,7243.538731731284,6647.249103528119,7627.075262825809,512961.0345054063,519916.969901175,81175453.47503234,82626505.47745742,63915904.34964447,90622250.58683877,65731550.53174256,90906941.85138352,80023789.45549527,75402033.04628271,1404.91398672164,1116.693106906005,849.8016226874126,960.5503130785014,765.1322806094176,873.8850059932299,246383417989.4229,1236153614.720042,1029667336.33207,1007197667.996555,18202.3291,171825.332,18209.091,25.0534794
30,1,143229232253754.9,142716809274696.3,69296972386048.75,78410362496569.3,375020266804375.0,26812019656877.5,197434943470345.5,230277376285972.4,1060322948.537216,67014239.91130808,25072168.15044936,77509784.82376586,19865226.37164684,43365774.34048369,11280060.85709603,264224.1905273423,9501.174282214495,6927.267279972267,7179.269279119208,479557.9633362151,435133.9040827786,63517909.73545069,72594256.20762134,67056477.26139197,62582213.54821678,88024653.58474317,77030938.77949585,73550451.24066244,75836707.62470955,1375.803238915008,1606.060079570288,858.7258110278595,695.4494952609616,815.553408108753,912.9952506887141,218276212853.5812,1023865193.409765,1144602673.096017,1116229159.796725,18473.717,202051.699,18974.3869,20.9761935
31,1,178606855127288.9,141877416394803.8,61018762336261.67,65814476749673.36,450795951794179.1,27705202760001.88,168250125315217.6,324028936009217.2,879034546.095098,67433083.62620462,25529794.55433291,61115868.53574834,18250743.99916574,45454704.40000246,8670324.293910876,292758.0570062634,8486.566376836201,5739.868132890335,6664.423681203991,486515.8285068588,396572.5883829874,92855338.79428494,69644368.20586365,79510081.68651015,71620600.06365103,82017112.31600797,73402113.11839697,71403234.66128537,91665091.80136591,1453.844270440466,1198.416520199963,917.1078673650791,688.869487678924,694.2066176858908,818.9369563939279,260471295831.8523,1031234689.942684,1107990291.520149,1276775607.299508,17876.2903,150322.743,15451.1994,30.7233609
32,1,131149453844127.1,172795663426238.5,72294786013522.97,63650094486002.42,357084570646052.6,32144910071733.85,181627903682565.3,332249788704089.4,827732820.0555445,59249489.63092934,26173658.23582594,78311280.00548506,17893329.51757484,40048772.05321233,12277378.34302352,290658.1583097684,8776.684988840198,5070.618615180479,7368.525111289615,467448.1073845604,518800.9400180074,87847838.52860954,93557848.865943,81208425.84134743,64072445.8463221,66984791.81362607,87406782.19193676,76159818.10312083,76762222.57208017,1292.861353619542,1192.298541831758,741.3241189213066,917.9555116086565,724.6884081516733,713.0458354510479,223328053192.3464,1189531753.263752,1155405755.639497,905184604.1939309,18041.6542,174907.717,19245.6963,20.6889483
33,1,130337431303888.9,156995253960592.3,72034591800271.23,82575960328923.19,427945043724988.6,34434129893647.43,218365590137403.9,332712740183907.1,1128367536.271789,52675821.8552416,32985331.33166414,78482523.39239751,21042733.7284829,40321149.28229886,12034327.89271565,308742.7806225232,9067.16267684062,6264.886864186206,6787.080153045457,412224.410996157,509462.3539831453,73223208.52338581,89864466.89345516,87561213.80490994,76356057.47661766,77587642.56644069,90873013.12294774,83819264.54184364,66586915.11183054,1221.919937785499,1209.408248737627,725.6159969508172,929.4465531782165,918.0677917900603,863.7954208844187,287174654975.5862,1276347248.28778,1233988964.328023,1282011276.689892,18155.9725,186292.893,19252.8725,26.6605977
34,1,135381332555159.9,127294296062463.7,82249361592191.31,61386923382272.84,341461240262771.1,33373667293010.01,155530636387797.2,299399092101076.0,1130727788.071747,67198627.65707812,22584767.66924471,71328929.99549307,23696668.76870022,37911753.68793138,8942381.251830062,260775.8184080468,9532.347403465976,6734.598475587332,6625.723141868386,550726.5928889795,393880.8784505381,84480851.21982235,84812830.12351593,70631013.55398518,80212741.956871,78259744.84141923,65995072.87273395,77031445.8510275,71946203.74916767,1598.55564223858,1263.443527756331,708.0258283497194,866.1426618052184,721.5810777253191,944.2804477761442,258138887952.0637,1098664674.06369,1199632799.347152,1113580610.534678,18083.6454,169516.666,17050.1064,26.3701814
35,1,133308627497209.4,163664949505372.6,66882456055699.38,75335314937371.66,382634072084773.6,32005665923693.34,185611193507337.8,278298348870158.3,978155481.3711296,68118110.44397795,32296799.94604525,62099135.87192825,20793016.19244384,42470565.22840565,12108905.9164254,326738.0143511196,9593.996395126667,4933.267392050369,6944.039593317486,476597.7097154852,407966.7601029044,87081210.03691725,89547334.93018988,67014637.35824809,76705191.66574585,67121158.38018392,70803618.48606205,90957981.66142333,71593616.92684194,1234.37061910795,1630.695959879677,675.7191956378215,727.063537021782,738.4475318576586,961.392414008166,273041282010.368,1238422565.385083,894866910.0441582,1147909249.220058,18075.4086,143104.278,15634.1016,32.0304339
36,1,167568128452197.4,166806947980575.9,69343829092500.19,87545481906367.55,437556847225030.0,30729396288450.04,193849295392760.4,242020313625242.8,1023295923.18394,55796941.24524294,27425340.51842134,77925202.1357444,23555276.4983024,40835083.92058957,10770715.57495875,337030.7387875587,8488.761146308612,5936.808280271043,7735.403663117664,377086.3170611125,368947.3941019034,89614336.3456032,64567113.76477733,63293576.22191025,80387863.64495043,89512539.1642231,68332453.32534742,90563205.95085184,79671367.61651233,1313.327746104296,1226.925148733944,897.2061017330159,665.1275082523762,748.7373102074092,867.5977586656284,222275395099.9185,1266349154.208333,974334585.2478497,916282247.0907257,18350.427,172557.393,18544.1862,21.0637812
37,1,143693964333624.8,166962154245282.9,79399789662894.75,65991443132828.13,466469936710680.4,31345525070577.56,189791093515613.7,256218951538032.0,1121648346.04789,50261221.18470939,31170739.41367405,69395620.69248284,21236895.09838106,46303440.18536865,10698316.01718105,301264.0707063695,9691.513445621044,5692.261700660682,6858.1987585971,381105.3069904718,474554.4860726242,74781131.78751516,68647308.51597679,86038479.34262978,90139027.14438246,75034563.39968447,90596323.57291898,70895596.83952348,74712484.35556112,1510.847857007753,1606.124828780684,699.2283158746661,748.2415366927708,768.2381370296955,691.6724267774191,237128793426.692,1107634398.578725,981804371.0669414,1107185832.11839,18268.0002,169227.263,16574.9522,25.1836363
