Итерация,NGRADE,INIT-DEC-TBPND_PRE_EXP,INIT-DEC-TAPND_PRE_EXP,INIT-DEC-TOPPI_PRE_EXP,INIT-DEC-TOPND_PRE_EXP,INIT-DEC-TAPPI_PRE_EXP,INIT-DEC-TBPEH_PRE_EXP,INIT-DEC-TBPIN_PRE_EXP,INIT-DEC-DTBP_PRE_EXP,INIT-DEC-ETHYLENE_PRE_EXP,CHAIN-INI-ETHYLENE_PRE_EXP,CHAIN-INI-PROPYLEN_PRE_EXP,PROPAGATION-ETHYLENE-ETHYLENE_PRE_EXP,PROPAGATION-ETHYLENE-PROPYLEN_PRE_EXP,PROPAGATION-PROPYLEN-ETHYLENE_PRE_EXP,PROPAGATION-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-MON-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-MON-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-MON-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-MON-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-AGENT-ETHYLENE-PAL_PRE_EXP,CHAT-AGENT-PROPYLEN-PAL_PRE_EXP,TERM-DIS-ETHYLENE-ETHYLENE_PRE_EXP,TERM-DIS-ETHYLENE-PROPYLEN_PRE_EXP,TERM-DIS-PROPYLEN-ETHYLENE_PRE_EXP,TERM-DIS-PROPYLEN-PROPYLEN_PRE_EXP,TERM-COMB-ETHYLENE-ETHYLENE_PRE_EXP,TERM-COMB-ETHYLENE-PROPYLEN_PRE_EXP,TERM-COMB-PROPYLEN-ETHYLENE_PRE_EXP,TERM-COMB-PROPYLEN-PROPYLEN_PRE_EXP,B-SCISSION-ETHYLENE_PRE_EXP,B-SCISSION-PROPYLEN_PRE_EXP,CHAT-POL-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-POL-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-POL-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-POL-PROPYLEN-PROPYLEN_PRE_EXP,SC-BRANCH-ETHYLENE-ETHYLENE_PRE_EXP,SC-BRANCH-ETHYLENE-PROPYLEN_PRE_EXP,SC-BRANCH-PROPYLEN-ETHYLENE_PRE_EXP,SC-BRANCH-PROPYLEN-PROPYLEN_PRE_EXP,LDPE,MWW,MWN,FSCB
178,1,132177377043434.5,142715709575571.2,82106846333569.67,88599768772404.73,331141177584572.6,35129933694598.27,226448197665931.7,302381437950654.2,836869309.2690842,64579732.85814059,29690564.26308914,56658546.57847452,17057909.8963415,36107752.00337352,9543507.967496911,386987.4583908053,8968.372871708012,7125.491422408795,7962.194490925066,482598.1835275241,400408.160868504,77528902.9285275,77016476.14478324,72892732.83364198,75551978.8878485,85465651.87959164,92516808.63766465,87773925.30630882,78353590.37251875,1566.427627042049,1598.712547406696,659.8876867009648,810.2027176981138,652.5589063298994,802.0509631008716,220285289726.6684,918095614.5902649,1120760474.183128,1225710403.157766,17930.3204,106825.964,12433.3159,28.1170331
179,1,162241187439391.5,173471626954834.2,63105991194446.58,75444152074839.95,453518462908344.3,32902902798590.37,202079462197022.1,315888355414244.1,1147433983.443242,56152884.422398,22318783.07021526,63958546.03830327,23284636.34315121,41807056.06958349,8466609.093804173,343783.7573156779,10104.61600975404,6723.697797043143,5613.222799128024,498845.0232654054,431157.7995629187,83637847.396586,88200483.56880164,79447200.77062875,67099904.21761055,69298663.42939122,81855613.8934429,89053335.1374878,71577616.88260001,1358.751380825286,1574.435202985364,822.5327146286278,752.9131938775532,713.4226324237266,873.2993775541892,280422599908.4321,886094206.1889888,1024691924.948425,1176507234.947022,18009.1438,133986.088,15071.7403,31.8184917
180,1,142643538341025.6,166650333498497.5,63082667031604.17,65778561913129.36,471983754944582.1,34556991518859.5,228513785941730.1,264738695218635.6,1042066391.135027,59104056.52171646,31915740.94462067,71686951.44121602,16274871.00121894,43140198.52520088,9310036.452536033,302383.5511947268,8064.676613902494,6611.523589032002,7242.276445942064,496558.4561107223,481214.3376686957,86234137.54340097,64748489.62875201,66081945.48132987,75056025.78081276,73239756.4855184,70398338.32583217,72287258.92655507,67892716.58013627,1335.082093193997,1470.748479085058,828.0675094171141,754.365167778217,799.3638707780351,692.3662850901044,253808132170.5623,1303799633.661765,930494184.5266973,1305129356.170633,18260.4125,158042.028,17416.8791,26.0511707
181,1,148961213556084.1,162196793915696.8,65826162995356.96,87635838598836.66,478928229377479.1,25384884287931.64,190935164503976.1,283090656807550.1,1177812560.074811,69307043.82309152,32196927.51445998,59007136.23310891,17071246.50563668,37629603.72638895,10080252.17954133,366553.9209848834,8320.221931687589,6317.703880589692,6740.472035512713,452532.0034364361,377696.8313050087,75731127.43553744,71730420.70223206,83874980.04404947,86975246.30434929,89797813.87709907,83322926.01857696,78137748.12707005,68531325.55326194,1534.042407633565,1607.993035280713,820.6896078069107,683.443811494614,782.2036303437275,836.9108391396196,218224595423.9626,1301602934.436162,932710458.7998096,943912096.209151,18058.0243,120816.959,13477.0799,26.9332766
182,1,170806591576717.9,162476638298833.8,78411305863561.08,70199385287863.47,382722246791991.0,26668938873606.2,205782950842291.2,243441945819901.8,1053732164.880271,57290423.35879114,26895885.2745516,75181623.11167625,20713251.4127033,47019044.76772127,9887348.908422088,387883.2090281608,7181.90267676622,5561.228493760181,5551.430326794297,499369.372354483,393842.0325664331,88303623.44713756,82521650.02896345,65949369.15249391,81866536.55086485,85353276.58207811,74056559.61770414,77537309.92973222,63348782.91430976,1637.985161951746,1164.353821163405,769.9864474074117,827.0596568784636,963.6485525929882,754.7348720492032,203833089519.2043,1293812322.948383,1278582680.224371,1248945741.393715,18290.5544,133085.675,16397.2442,20.0216353
183,1,127459963645602.9,151067673621624.8,80623201033985.84,79173192498951.0,338113628419324.1,35054046348736.15,165698593095641.8,251444721022249.0,1172714032.889153,69364627.42017263,28955770.37153822,64025323.57620704,20015707.95158505,42803474.07568483,12000379.79382173,293602.3139074579,7928.241327594842,7200.238198118868,7108.527353670663,406114.3540580922,525215.3789557789,64776865.63858749,64827261.13975404,86096979.6745984,70839051.1997756,73996423.76899576,85380011.21967983,91441126.0639659,69755269.2149778,1409.383596630246,1230.55688719556,894.3163594247811,942.2579701152083,857.5620737607467,745.4007587472166,269655760736.1231,1315798480.876769,1260556419.306907,1283532485.223993,18264.6266,172178.123,16251.8991,31.0179655
184,1,124702020476447.8,146978076620611.2,79713280395786.64,87341471530780.25,391850913021408.5,31304389804627.82,227132168350289.5,242147945419458.0,801853692.7667698,48803414.28859594,31544326.73472136,69437507.18928945,18833151.30892591,46749723.26800621,11386153.02446917,273539.2386564099,8938.84461896387,4888.119829441522,6379.339487982835,432597.1172055452,500717.312592221,73672741.67857519,72373757.85718863,82183088.3532992,75585450.57445715,70114323.34379737,87121153.66197269,80559233.66826189,75019487.12336105,1450.041978215658,1599.468258912241,739.2544747516622,758.415307899865,894.9346512295708,810.5679622445753,204194268228.6749,941502181.9918146,945594771.6415777,937799149.0697365,18306.9761,179616.585,17528.9655,21.6589908
185,1,129428222269461.3,144277252264201.2,84915994618548.94,72997359785644.17,363765834193535.5,32948369904885.48,191848925114962.8,236426476432759.6,1117524743.854428,64115332.36285309,29219807.24286184,65135902.2271177,23764010.77344742,38009832.43660942,8658991.446217861,383064.0766497105,7391.976900115207,6883.632720785863,7752.852249966767,399397.6188226489,376362.5530549169,68440222.62221238,74843443.61942118,85180503.64036438,91675579.80799618,66377574.8112491,79170344.29255411,82426451.75921081,92439937.27036288,1599.323878214982,1623.815368719366,771.6725751083021,849.5031566896517,932.2769277929788,778.5531467726221,218683374823.0603,1208247181.440618,1094412983.410709,1110425705.806849,18292.7723,129069.896,14507.1554,24.779959
186,1,180132868611387.6,168152931327651.5,91146384765025.14,63828143414007.52,457757730795813.5,34987663989625.12,179090151040146.7,268116907155782.0,1173402903.290403,51899615.78091948,30749039.45296143,62039106.17102682,23689673.2089738,37825798.11440715,12154128.46144886,387047.140089123,7794.151292502027,7270.902841537243,7893.107342844723,423196.3565974442,528827.7545355253,93425099.09699771,87748197.4708313,74869473.96580404,70524387.98468325,77112642.03521997,65788137.95155873,71193180.73946112,81911826.41895723,1435.063976800504,1131.720068585811,713.5496280415532,955.6731242702217,897.6744333574749,753.1843599617608,221902425397.0157,1254985199.471061,1270705899.9633,974994059.3874664,18096.083,121105.57,14115.7636,26.1392456
187,1,170560153450626.6,137387253119812.3,74622960419912.47,86712656400641.38,434787131251955.7,30516782391610.23,203833804688073.8,319965491405053.6,839952789.6563241,59153040.15238912,27924877.63890073,72200989.42428903,19004726.61115613,37055158.71852753,9227143.224148719,352851.286249398,8786.750231266144,6315.396953328602,7666.099371025668,386602.9198032187,448925.2657856608,71407066.55609994,93236615.42557585,70903458.01688315,69848939.00931455,84596142.20972379,75536837.34280467,83280470.31978351,76092711.48761651,1472.974140105844,1542.601743702863,851.4439409885539,679.5848288052607,789.7012519219033,865.3655589714231,276707350828.5978,969887256.0975039,1007623027.372624,1178849888.74585,18035.7629,147971.298,16266.7231,27.7981881
