FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
3.1901686363502144e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,101.12005805660884,61254.403129520986,164.8535862368396,6.297435756569797,1.312674724482103,33549.9036,158247.8,25.3508521,289.803462,218.909753,9421.18853
3.934643840947908e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,104.1542275256155,60106.20736819057,179.11632491223858,7.966516651990686,1.1683887246239437,32902.185,143574.934,25.3414357,288.590941,225.015633,9154.35807
4.296294117745042e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,99.69295521522665,60074.68049342163,164.59050784308963,4.299670228593664,1.126929049834769,34280.0725,165476.169,25.1689526,283.685293,218.60206,9163.52157
3.6257001187856185e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,101.03673155173347,64124.20963463768,179.27282530335543,6.5594234275289445,1.646365758141871,33482.6736,152660.23,25.3947271,294.57936,228.418229,9717.07647
3.93623172975558e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,101.52315186365642,64670.114837837595,173.47537799044346,6.8518455443238295,1.087401267697453,34056.0779,153257.661,25.0656807,286.110665,221.480346,9656.1143
4.19936580831024e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,103.46208044264954,67031.48944369232,161.17231439213344,7.753972991259601,1.6100871603924487,33853.7423,152379.586,25.1417595,293.784428,216.510341,10158.6455
3.4693203737106014e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,97.40486031053585,66307.6152768864,178.27127918370218,4.252450413352635,1.2011551788537647,34798.4188,167171.558,25.12309,286.4502,227.17377,9774.58397
4.339145450157519e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,100.75069654625878,68264.83461351469,175.02884128073012,4.230685818246018,1.3709031801758398,35048.6624,167161.349,25.0388511,288.329694,225.8418,10060.0667
3.4908172510530002e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,98.28150096172372,63904.90967659821,167.73480044958944,5.8776735227171795,1.949315886375701,33547.0393,159010.387,25.4585795,297.153175,223.554084,9829.17397
3.2436735433157237e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,103.61195564967397,63571.123668163484,177.42557461564982,6.565511875530288,1.278741388288429,33676.6057,154633.377,25.2949463,289.947905,225.766431,9573.31241
3.1150623258204777e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,99.55159033502584,69381.66679611657,163.9159107607205,4.023240317196223,1.006826780675775,35525.4499,176708.99,24.9292185,281.950525,218.737885,10123.8816
4.2035761391727e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,97.8953583538881,64637.89037188611,166.52975247876668,5.782327508079707,1.3119215981708574,34293.7496,159337.581,25.1012071,288.417471,219.286861,9750.43876
4.562779134925545e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,100.77167538296477,60257.55647632874,173.9324902319707,5.370642708021084,1.0726193673967177,33917.5157,155487.295,25.1684332,284.041697,222.131636,9109.24127
3.204870396160408e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,103.3182321862828,63853.65038314623,177.81300579628999,4.371753053290018,1.3500835456411662,34268.2371,165585.039,25.3101529,289.070255,227.895443,9564.43055
3.92298856383999e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,96.9721507635519,61045.67853649801,177.54634334851556,4.624433782854226,1.8396019667837864,33460.0243,159275.866,25.5645427,295.144211,229.368268,9377.85561
3.9419319830798676e-06,3.7905e-09,250000000,250000000,1250000,1240000,60700000,2500000000,2500000000,1300000000,102.76415001196568,68325.08818752636,167.46664134080396,7.97540807862417,1.141559094658417,34211.9298,152075.16,24.9706876,287.654719,217.807002,10121.8231
