FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
4.3065265328041725e-06,3.156046698233969e-09,249355487.49929792,277407601.9301652,1074692.6619694242,1128225.4458707324,54591790.01899622,2745783830.2421823,2062379345.7494347,1490011346.634525,80.35622446140727,57936.777241342534,169.31553693482454,5.645892278503068,1.6912655640164838,37827.5723,175246.749,27.3392177,303.474982,226.508487,9606.00929
4.632466052630434e-06,3.2327479007103676e-09,245131769.92536673,267652983.28612816,1334747.0132827736,1482765.2313393566,53441061.45670068,2637219400.884115,2956706441.161861,1283634886.2411993,105.11457207532719,71521.63225265915,174.0737530441014,6.938470098464419,1.7260926473375993,38360.3999,214814.466,23.441638,298.591023,226.894186,10810.0908
3.2076489336816866e-06,3.726545159240627e-09,209732114.96988508,252221326.0304029,1374936.4027460276,1316427.2692482336,58391332.46834158,2468808994.718542,2799633012.872926,1274667266.755901,118.22422474244594,68687.81481826202,145.13075931332767,6.650403102341144,1.420692430678257,35072.7041,180649.839,24.3319299,290.124803,208.403512,10345.6377
3.501218691839579e-06,4.3408128816589356e-09,252443282.79964578,283731136.94017637,1100286.3301442661,1211668.7026720159,54473132.20590763,2880433318.5894294,2492883980.278763,1222123623.9154706,111.04533358029533,74586.80925470717,146.49615250610591,5.174631704845251,1.4425069788580867,42572.9344,218123.216,20.6976388,291.543354,210.088541,10985.2519
4.305289289694957e-06,3.967458756993543e-09,207816415.45797622,257713145.1169293,1404910.243844011,1210315.2733023227,56777499.50529661,2707864665.292511,2793148799.693631,1457752492.2455826,102.48269435077015,69097.69255390258,161.27885927421661,4.849224432859132,1.2177113081987598,36816.54,172259.55,26.9145803,283.90043,216.199535,10091.5618
3.4538639613245484e-06,3.569892872281222e-09,253150057.13290855,281463618.55581015,1234511.8012697138,1229787.1975361514,72201885.05153197,2115562083.091164,2474263289.905367,1411563856.7869306,102.26788350061807,56483.36526366075,167.66948061648455,5.6034502013986565,1.585060330441804,32055.4533,148085.0,25.527546,301.958781,224.191764,9387.91815
3.483022309418377e-06,3.371823733787179e-09,274809765.497127,261661366.7909163,1345645.3971090752,1277516.9833948384,55742256.15953879,2013015867.047611,2728289619.446174,1081292715.2677405,118.0028215327269,55698.927136303864,160.04666676650507,6.230891483139206,1.3138345864104168,35144.0313,187718.093,20.7193212,295.0786,217.896261,9115.87014
4.5546688840521476e-06,3.5038550239209917e-09,258174685.33574575,262860061.50208604,1289122.2855216914,1182122.8816839226,58295124.664719135,2974528222.219599,2855285502.6891217,1075988197.380542,112.51471871273911,71225.90134463077,167.1710815747196,5.906008072528385,1.6733427588820238,36695.8613,162383.728,19.750809,293.527563,222.005004,10561.1005
4.270916876441798e-06,4.0033152529150704e-09,242408849.70901412,264327938.37010825,1367884.837198511,1485343.7493040767,56665136.51887867,2046538852.525331,2300595334.175423,1426503676.421183,112.29683494579457,66485.3244246756,171.62526367851476,4.805485873157431,1.4968368080715493,36769.9751,222191.956,26.4690988,295.693202,224.728951,10240.3643
4.167615700552204e-06,3.6415158378098778e-09,257555598.11335844,252992304.0977555,1108401.8661743877,1374073.0826636953,68154055.69726802,2587428635.4734464,2616017987.6485567,1137761017.573785,110.2135900883775,62349.56729276034,189.39231077053253,5.01276377447462,1.5499874916933576,32320.5771,155252.919,22.0303111,292.663479,234.612564,9400.97406
4.231163471569999e-06,4.281226563672879e-09,232225142.50703302,252947529.9534969,1314888.6914785774,1211031.7617921508,53000304.96653722,2259404208.2284737,2813366724.5494003,1083183847.2268445,92.35537539153675,55822.04000732308,195.69945554201541,6.782732219810837,1.7051604793603192,34689.0612,158383.247,21.164995,293.369593,237.209133,8498.95736
3.400142072482315e-06,3.676649771432649e-09,243199527.03563774,297295830.48549855,1430889.0491238113,1394736.978574852,69354417.05184716,2556284538.1162977,2951943366.3381987,1079681236.7258584,101.14010434712304,67186.96448873647,173.20020552445368,5.904256364088469,1.6706604606722182,34919.1181,172005.501,18.0359409,301.164729,227.240863,10507.4887
3.7708544666426574e-06,3.6265059579018087e-09,257181445.27324262,271067357.8538125,1167513.8148377638,1480906.0099034486,54722943.439367086,2414260237.9076014,2218086019.2467914,1401680228.4421046,114.91900205479712,64657.51742114802,183.08873582078496,7.094837761299214,1.3799020045865218,37850.1575,215481.005,25.6867113,298.129217,231.197047,10090.9765
3.992756820988511e-06,4.093847701457768e-09,225093220.90895125,204227458.70266694,1427363.2989022993,1306703.5255123463,62181138.42988616,2857637376.063897,2489250942.8665366,1150337428.3413985,89.10371365373922,68116.22423628069,147.4318302125701,6.823670683383279,1.7376417529818715,28559.098,127328.107,26.1557521,280.354123,207.908419,9604.49482
4.620269438120481e-06,3.53493515548902e-09,229904154.6814477,246558068.436211,1383368.57477859,1366236.3671646721,50768436.792595506,2533197478.904618,2413889870.9935913,1149754593.4819374,106.25747968697021,60630.34259623206,136.60203958223894,6.0098022942026486,1.6689234271259317,36059.8401,203687.842,22.6962916,292.897138,205.132748,9701.14242
4.147182296506999e-06,4.547362785050233e-09,233227386.0280704,217689766.60912603,1273927.120191806,1009506.7755135626,71702822.08254927,2023486383.9664142,2635353612.5209546,1119531467.9819362,88.85018902296648,64887.85450101172,142.17879817880362,5.250025782400948,1.4383359060293153,28705.968,113248.385,24.0360185,279.617287,204.636886,9481.73762
3.4697048155529103e-06,4.0717315118155864e-09,280104892.22386056,204599008.2811831,1128963.5135575722,1107839.8795093251,69820135.57091516,2392432675.3581944,2438420664.6042128,1483127756.9678087,84.92332082578206,73390.56128254802,200.02151341737255,6.322019895729248,1.538953118134261,27919.4787,107372.065,34.0708473,284.01796,237.431943,9830.77644
4.084321895066566e-06,3.794123168086694e-09,265345628.25293136,243486350.27452186,1276189.8421943614,1360214.1313518772,63345910.69162043,2864448260.7868857,2000321109.941988,1436294515.2937446,86.14125007654165,58731.42460834633,195.90846773711667,5.3640018748650915,1.4891497853551061,30947.1645,140473.314,29.0316077,291.345297,237.472396,8860.51093
